Name,Age,Gender,Height,Occupation,Hobbies,Pets,Favorite Music Genre,Favorite Band or Artist,Preferred Movie/TV Genre,Physical Activity Frequency,Preferred Physical Activity,Vacation Type,Vacation Activities,Bucket List,Vices,Preferred Partner Gender,Preferred Physical Attributes,Preferred Age Range,Preferred Activity Level,Pet Friendly Importance,Child Friendly Importance,Deal Breakers
Maria Bentley,41,Non-binary,200+ cm,Business,"Music/Art, Playing musical instruments, Socializing",Yes – Dog(s),"Electronic, Pop",Cynthia Martin,Romance,I’m not very active,"Team sports, Gym/Fitness classes",Mountains,Hiking/Outdoor adventures,Running a marathon,Regular alcohol consumption,Female,"Tall, Natural look",No preference,Moderately active,3,5,"Smoking, Poor hygiene, None of the above"
Jeffery Blake,23,Female,175 - 180 cm,Artist,"Cooking/Baking, Tv shows/Movies, Music/Art, Socializing, Playing musical instruments",Yes – Other pet(s),Classical,Patricia Horton,"Comedy, Romance, Horror/Thriller",Regularly (2–3 times a week),"I don't do any physical activities, Swimming/Water sports","City breaks, Adventure travel","Hiking/Outdoor adventures, Swimming/Water sports",Learning a new language,"Prefer not to say, Smoking",Prefer not to say,No strong preference,36–45,Moderately active,4,2,"Poor hygiene, Smoking"
Mr. Jeremy Evans,35,Female,155 - 160 cm,Artist,"Socializing, Cooking/Baking","No, but I would love to",Hip-Hop/Rap,Brian Ferguson,Horror/Thriller,I’m not very active,Yoga/Pilates,Mountains,Sightseeing/Cultural tours,"Skydiving or bungee jumping, Running a marathon, Starting your own business","Regular alcohol consumption, None of the above",Male,No strong preference,46+,Not very active,4,2,"Lack of ambition, None of the above, Excessive drinking"
Hannah Ross,46,Female,150 - 155 cm,IT Professional,"Music/Art, Playing musical instruments, Sports, Gym, Reading","No, but I would love to",Hip-Hop/Rap,Andrew Robertson,"Drama, Science Fiction/Fantasy, Action/Adventure",I’m not very active,"Yoga/Pilates, I don't do any physical activities","Countryside, City breaks","Sightseeing/Cultural tours, Hiking/Outdoor adventures","Skydiving or bungee jumping, Running a marathon","Regular alcohol consumption, None of the above",Female,Tall,No preference,Not very active,5,4,"Smoking, Disrespectful behavior, Lack of ambition"
Stephanie Jackson,29,Male,190 - 195 cm,Artist,"Traveling, Cars/Motorbikes, Socializing",No,Manele,Jill Peterson,Horror/Thriller,Regularly (2–3 times a week),"Running/Jogging, Gym/Fitness classes",Adventure travel,Sightseeing/Cultural tours,"Skydiving or bungee jumping, Starting your own business","Smoking, Prefer not to say",It doesn't matter,Tall,36–45,Not very active,5,2,"Smoking, Poor hygiene, Lack of ambition"
Craig Chang,45,Non-binary,200+ cm,Business,"Cooking/Baking, Sports, Hiking, Traveling",Yes – Cat(s),"Jazz/Blues, Manele",Sonya Briggs,Comedy,Occasionally (once a week or less),I don't do any physical activities,Seaside,"Swimming/Water sports, Hiking/Outdoor adventures","Learning a new language, Skydiving or bungee jumping, Running a marathon","Prefer not to say, Gambling",Prefer not to say,Natural look,18–25,Highly active/Sporty,5,2,Smoking
Ann Haynes,29,Prefer not to say,150 - 155 cm,Artist,"Gym, Cooking/Baking, Cars/Motorbikes, Socializing, Music/Art",Yes – Dog(s),"Classical, Hip-Hop/Rap",Darrell Henson,"Horror/Thriller, Romance",I’m not very active,Gym/Fitness classes,"Mountains, No strong preference",Hiking/Outdoor adventures,"Learning a new language, Starting your own business",Gambling,Prefer not to say,Stylish/Well-groomed,No preference,No preference,1,1,"None of the above, Smoking"
Ian Wilson,38,Prefer not to say,175 - 180 cm,Engineer,"Socializing, Gym, Reading","No, but I would love to","Manele, Pop, Jazz/Blues",John White,"Drama, Horror/Thriller, Science Fiction/Fantasy",Occasionally (once a week or less),"I don't do any physical activities, Gym/Fitness classes","Countryside, Adventure travel",Relaxing on the beach,"Running a marathon, Traveling to a new continent, Skydiving or bungee jumping",Regular alcohol consumption,It doesn't matter,Stylish/Well-groomed,46+,Not very active,2,1,"Smoking, Poor hygiene, Lack of ambition"
Keith Moore,35,Prefer not to say,180 - 185 cm,Business,Gym,Yes – Multiple types,Pop,Jordan Cameron,"Drama, Science Fiction/Fantasy, Action/Adventure",I’m not very active,"Swimming/Water sports, Gym/Fitness classes","Seaside, Adventure travel","Hiking/Outdoor adventures, Sightseeing/Cultural tours",Traveling to a new continent,None of the above,Prefer not to say,"Athletic build, Stylish/Well-groomed",No preference,Highly active/Sporty,4,3,"None of the above, Excessive drinking, Lack of ambition"
Maria Nash,35,Prefer not to say,180 - 185 cm,Teacher,"Gaming, Playing musical instruments, Cooking/Baking, Socializing",Yes – Other pet(s),Classical,Heather Stewart,"Drama, Comedy, Romance",Regularly (2–3 times a week),"Team sports, Yoga/Pilates",Mountains,Relaxing on the beach,Starting your own business,"Gambling, Smoking",Prefer not to say,"Athletic build, Tall",46+,No preference,4,4,Excessive drinking
Edward Brock,23,Male,180 - 185 cm,Student,"Tv shows/Movies, Hiking, Cars/Motorbikes",No,Manele,Jacob Reed,"Drama, Science Fiction/Fantasy",I’m not very active,Team sports,"Mountains, No strong preference",Relaxing on the beach,"Learning a new language, Running a marathon","Gambling, None of the above",It doesn't matter,Stylish/Well-groomed,26–35,Highly active/Sporty,4,4,Excessive drinking
Jonathan Montgomery,18,Non-binary,185 - 190 cm,Student,"Cooking/Baking, Socializing, Playing musical instruments, Hiking, Reading",Yes – Multiple types,"Electronic, Pop, Hip-Hop/Rap",Veronica Mccormick,"Horror/Thriller, Drama",I’m not very active,"Yoga/Pilates, I don't do any physical activities","Countryside, Mountains",Swimming/Water sports,Traveling to a new continent,"Regular alcohol consumption, None of the above",Prefer not to say,"Tall, Stylish/Well-groomed",No preference,Highly active/Sporty,2,3,Disrespectful behavior
Jamie Nicholson,49,Male,160 - 165 cm,Healthcare,Reading,"No, but I would love to","Electronic, Pop",Jennifer Preston,"Drama, Horror/Thriller",Regularly (2–3 times a week),"Swimming/Water sports, Team sports",Adventure travel,"Relaxing on the beach, Swimming/Water sports","Skydiving or bungee jumping, Learning a new language",Regular alcohol consumption,Prefer not to say,"No strong preference, Natural look",46+,Not very active,5,5,"Disrespectful behavior, Smoking"
Bill Barnes,47,Female,170 - 175 cm,Student,"Tv shows/Movies, Reading, Music/Art, Sports",Yes – Other pet(s),"Pop, Electronic, Jazz/Blues",Kelly Benson,"Romance, Action/Adventure",Occasionally (once a week or less),I don't do any physical activities,Mountains,"Hiking/Outdoor adventures, Sightseeing/Cultural tours",Learning a new language,Gambling,Prefer not to say,"No strong preference, Tall",26–35,Moderately active,4,3,Excessive drinking
Michael Richmond,36,Prefer not to say,180 - 185 cm,Student,"Cooking/Baking, Gaming",Yes – Multiple types,"Pop, Jazz/Blues, Hip-Hop/Rap",Charles Phillips DVM,Romance,Regularly (2–3 times a week),"Running/Jogging, Swimming/Water sports","Mountains, Adventure travel",Relaxing on the beach,"Traveling to a new continent, Skydiving or bungee jumping",Prefer not to say,Prefer not to say,Athletic build,No preference,Highly active/Sporty,5,1,"Excessive drinking, None of the above"
Alexander Willis,26,Female,160 - 165 cm,Teacher,"Sports, Tv shows/Movies",Yes – Dog(s),"Manele, Pop",Anne Ramos,"Romance, Drama",Frequently (more than 3 times a week),Running/Jogging,"No strong preference, Adventure travel","Relaxing on the beach, Swimming/Water sports",Running a marathon,Regular alcohol consumption,Prefer not to say,"Tall, No strong preference",No preference,No preference,3,3,"Smoking, Lack of ambition"
Denise Barker,18,Prefer not to say,165 - 170 cm,Engineer,"Traveling, Tv shows/Movies, Cars/Motorbikes",Yes – Other pet(s),"Classical, Jazz/Blues",Todd Herrera,"Horror/Thriller, Romance, Drama",Regularly (2–3 times a week),I don't do any physical activities,"Adventure travel, City breaks",Hiking/Outdoor adventures,"Learning a new language, Skydiving or bungee jumping, Starting your own business",Smoking,Prefer not to say,"Stylish/Well-groomed, Athletic build",26–35,No preference,2,3,"Smoking, Lack of ambition, None of the above"
Richard Jones,30,Non-binary,150 - 155 cm,Artist,"Music/Art, Reading, Gym",Yes – Cat(s),"Jazz/Blues, Classical",Margaret Garcia,"Science Fiction/Fantasy, Drama",Regularly (2–3 times a week),"Gym/Fitness classes, Team sports",Mountains,Hiking/Outdoor adventures,Running a marathon,"Gambling, Prefer not to say",Male,Stylish/Well-groomed,18–25,Moderately active,2,4,None of the above
Carlos Oliver,39,Female,155 - 160 cm,Other,Playing musical instruments,"No, but I would love to",Manele,James Chen,"Drama, Science Fiction/Fantasy, Horror/Thriller",Regularly (2–3 times a week),Running/Jogging,"No strong preference, City breaks",Hiking/Outdoor adventures,"Learning a new language, Starting your own business","Smoking, Gambling",Male,"Stylish/Well-groomed, No strong preference",18–25,Highly active/Sporty,2,3,"Disrespectful behavior, Smoking, None of the above"
Mr. Travis Walters,27,Female,170 - 175 cm,Healthcare,"Traveling, Cooking/Baking",Yes – Dog(s),Pop,Robert Smith,"Action/Adventure, Drama, Science Fiction/Fantasy",I’m not very active,"Running/Jogging, Yoga/Pilates","Adventure travel, Countryside","Sightseeing/Cultural tours, Swimming/Water sports",Traveling to a new continent,"Prefer not to say, Smoking",Female,"No strong preference, Natural look",46+,Moderately active,5,5,"None of the above, Excessive drinking, Disrespectful behavior"
Rebecca Watts,49,Non-binary,170 - 175 cm,IT Professional,Music/Art,Yes – Dog(s),Hip-Hop/Rap,William Little,"Drama, Romance, Action/Adventure",Regularly (2–3 times a week),Gym/Fitness classes,"Seaside, City breaks","Relaxing on the beach, Sightseeing/Cultural tours","Traveling to a new continent, Starting your own business, Learning a new language",Smoking,Female,Tall,18–25,Not very active,5,3,"Excessive drinking, Smoking, None of the above"
